node_id,lat,lon,elevation
286181276,35.5651548,139.5771104,31.4
286182061,35.5650986,139.5770508,31.5
308022083,35.5623967,139.5675949,42.2
308022101,35.5635038,139.5684934,47.4
308022850,35.5668096,139.568292,41.3
308022851,35.5669081,139.5682737,41.4
308022852,35.5665269,139.5664427,33.2
308022854,35.5666044,139.5664273,33.2
443306873,35.5640113,139.5804117,30.7
443306874,35.564109,139.5804755,30.7
443306880,35.5639962,139.5805179,30.7
443306889,35.567464,139.5837693,39.8
443306892,35.5689179,139.584051,48.9
461629162,35.5634727,139.568594,47.7
461629163,35.5633202,139.568519,47.2
461629164,35.5623447,139.5676691,42.3
461629181,35.5668274,139.5683967,41.6
461629182,35.5669233,139.5683775,41.6
461629311,35.5640094,139.5662507,42.4
461629319,35.5648506,139.5666505,45.0
461629321,35.5645339,139.567143,48.9
461629482,35.5633877,139.5685564,47.5
461629483,35.5634214,139.5684533,47.1
461629489,35.5570736,139.5778563,37.0
461629490,35.5570346,139.5779843,37.0
461629493,35.5554785,139.5821019,35.8
461629494,35.5554261,139.5822133,35.8
461629500,35.5541949,139.587757,23.0
461630321,35.5608656,139.5720717,46.2
461630327,35.5569959,139.5778177,37.0
461630329,35.5569573,139.5779476,37.0
461630334,35.5553972,139.5820528,35.8
461630335,35.5553494,139.5821747,35.8
461630341,35.5541082,139.5877853,23.3
461630402,35.5568484,139.5873263,25.5
461630500,35.5620515,139.5800518,33.2
461630504,35.5619941,139.5805502,33.2
461630506,35.5601829,139.5814517,31.9
461630507,35.5618143,139.5832829,35.4
461630509,35.5636023,139.5836703,28.0
461630510,35.5636852,139.5836874,28.0
461630515,35.5655672,139.5860038,30.3
461630518,35.5678954,139.5866422,42.8
461630519,35.568364,139.586885,44.6
461630522,35.5694542,139.5877379,32.4
730906859,35.5534877,139.5691862,14.9
739474123,35.5550144,139.5839169,31.8
739474124,35.5559535,139.5774496,34.3
739474126,35.5560637,139.5807111,36.8
739474127,35.5559941,139.5806663,36.8
739474128,35.5550847,139.5800835,36.8
739474131,35.5541159,139.585802,27.3
739474132,35.5540382,139.5857908,27.3
739479974,35.5565336,139.5691183,19.6
908108395,35.5709959,139.5686059,64.3
908108402,35.5709902,139.5689553,67.0
908108408,35.5682958,139.5663549,35.4
908108431,35.5709228,139.5688014,65.3
908108470,35.5670956,139.5664067,32.7
908108509,35.5698807,139.568423,57.1
908108531,35.5702619,139.5665874,40.6
908108539,35.5691286,139.5684801,55.6
908108541,35.5699031,139.5671428,40.1
908108559,35.5689924,139.5673699,44.9
908108566,35.5710902,139.5684614,63.3
908108580,35.5693462,139.5667568,38.4
908108584,35.569486,139.5684886,56.7
908108602,35.5694065,139.5685094,56.6
908108609,35.5691683,139.5670772,40.9
908108661,35.5688133,139.5676844,49.0
908108687,35.5694196,139.5672955,43.6
908108702,35.5679571,139.5663698,34.7
908108715,35.5703666,139.5675742,48.6
908108719,35.568813,139.5683399,54.5
908108751,35.5679651,139.5667692,37.3
908108783,35.5696764,139.5675135,47.4
908108787,35.5679821,139.5675059,45.3
908108796,35.568557,139.5681579,55.1
908108799,35.5679808,139.5671389,41.4
916037104,35.5546964,139.5837159,32.3
916037109,35.5555618,139.5842634,28.5
916037137,35.5548492,139.5852635,27.7
916037142,35.5553693,139.5841428,28.8
916037148,35.5547665,139.5837597,32.3
916037161,35.5545189,139.5850619,30.2
916037163,35.5557575,139.5832548,33.9
916073664,35.5535725,139.5844989,35.4
916073674,35.5539383,139.5848077,32.7
916073694,35.5537579,139.5857673,27.6
1302821170,35.5707153,139.5874513,29.4
1302821179,35.5700324,139.5745728,64.6
1302821294,35.5705987,139.5750406,57.2
1302821354,35.5701258,139.5842778,37.4
1302821425,35.5708258,139.5833372,36.2
1302821431,35.5692327,139.5828639,47.5
1302821441,35.5699074,139.5763383,56.4
1302821453,35.5693249,139.5758644,59.0
1302821479,35.5703169,139.5860648,31.1
1302821559,35.5690928,139.5853574,41.1
1302821664,35.5705145,139.576846,58.5
1302821747,35.571048,139.5791831,43.0
1302821812,35.5697464,139.5830259,41.6
1302821823,35.5700269,139.580119,49.9
1302821901,35.5695528,139.5841615,43.4
1302821907,35.5695979,139.5787005,49.1
1302821937,35.5705609,139.5853366,32.5
1302822001,35.5696485,139.5777206,50.0
1302822038,35.5703395,139.5795267,44.6
1302822154,35.5703754,139.577784,55.1
1302822187,35.5710648,139.5733362,72.9
1302822332,35.5695492,139.5856523,36.9
1302822442,35.5702948,139.5831461,37.8
1302822609,35.5693448,139.5823936,46.5
